SpeciesA,SpeciesB,Interaction,location,reference,notes,,,,,,,,,,,,,,,,
Macaca,Indocalamus calcicolus,frugivory,,B83E2E,"four plant species: Ficus nervosa, Ficus microcarpa, Sinosideroxylon pedunculatum, and Canthium dicoccum, which accounted for 55.7% of fruit feeding records",,,,,,,,,,,,,,,,
Macaca,Ficus nervosa,frugivory,,B83E2E,,,,,,,,,,,,,,,,,
Macaca,Gulhala argyrata,frugivory,,B83E2E,,,,,,,,,,,,,,,,,
Macaca,Sinosideroxylon pedunculatum,frugivory,,B83E2E,,,,,,,,,,,,,,,,,
Macaca,Canthium dicoccum,frugivory,,B83E2E,,,,,,,,,,,,,,,,,
Macaca,Burretiodendron hsienmu,frugivory,,B83E2E,,,,,,,,,,,,,,,,,
Macaca,Croton euryphyllus,frugivory,,B83E2E,,,,,,,,,,,,,,,,,
Macaca,Ficus microcarpa,frugivory,,B83E2E,,,,,,,,,,,,,,,,,
Macaca,Ventilago calyculata,frugivory,,B83E2E,,,,,,,,,,,,,,,,,
Macaca,Berchemia floribunda,frugivory,,B83E2E,,,,,,,,,,,,,,,,,
Macaca,Pionurus sylvestris,frugivory,,B83E2E,,,,,,,,,,,,,,,,,
Macaca,Sapium rotundifolium,frugivory,,B83E2E,,,,,,,,,,,,,,,,,
Macaca assamensis,"Ampelopsis brevipedunculata,",folivory,Nonggang Nature Reserve,B83E2E,,,,,,,,,,,,,,,,,
Macaca assamensis,Ampelopsis cantoniensis,folivory,Nonggang Nature Reserve,B83E2E,,,,,,,,,,,,,,,,,
Macaca assamensis,Tetrastigma planicaule,folivory,Nonggang Nature Reserve,B83E2E,,,,,,,,,,,,,,,,,
Macaca assamensis,Trema cannabina,folivory,Nonggang Nature Reserve,B83E2E,,,,,,,,,,,,,,,,,
Macaca assamensis,Burretiodendron hsienmu,folivory,Nonggang Nature Reserve,B83E2E,,,,,,,,,,,,,,,,,
Macaca assamensis,Hainania trichosperma,folivory,Nonggang Nature Reserve,B83E2E,,,,,,,,,,,,,,,,,
Macaca assamensis,Symplocos decora,folivory,Nonggang Nature Reserve,B83E2E,,,,,,,,,,,,,,,,,
Bonnet Macaque,Strychnos nux-vomica,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Pteropus,Strychnos nux-vomica,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Pteropus,Casinne glauca,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Cynopterus sphinks,Atlantia monophylla,dispersal,"Point Calimere Wildlife Sanctuary, South India","Balasubramanian, P. 1989a. Dispersal of wild lime Atlantia monophylla (L) CORR.SERR. (Rutaceae) seeds by Short-nosed fruit bat Cynopterus sphinx Vahl. in Point Calimere Wildlife Sanctuary, south India. Journal of the Bombay Natural History Society 86: 482.,",,,,,,,,,,,,,,,,,
Pteropus,Atlantia monopylla,frugivory,,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Pteropus,Opilla amantaceae,frugivory,,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Pteropus,Cassine glauca,frugivory,,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Coppersmith Barbet,Ficus,frugivory,,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Macaca radiata,Ficus,frugivory,,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Sturnus roseus,Phoenix farinfera,frugivory,Point Calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Corvus macrorhynchos culminatus,Lannaea coramandelica,frugivory,Point Calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Dendrocitta vagabunda,Lannaea coramandelica,frugivory,Point Calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Corvus splendens,Lannaea coramandelica,frugivory,Point Calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Corvus macrorhynchos culminatus,Manilkara henxandra,frugivory,Point Calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Corvus macrorhynchos culminatus,Ficus benghalensis,frugivory,Point Calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Corvus macrorhynchos culminatus,Securinega,frugivory,Point Calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Corvus splendens,Manilkara henxandra,frugivory,Point Calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Corvus splendens,Ficus benghalensis,frugivory,Point Calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Corvus splendens,Securinega,frugivory,Point Calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Cynopterus brachyotis,Opilia amantaceae,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Cynopterus brachyotis,Atlantia monophylla,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Cynopterus brachyotis,Gacinia spicata,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Cynopterus brachyotis,Syzyglum cumini,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Pteropus giganteus,Opilia amantaceae,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Pteropus giganteus,Atlantia monophylla,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Pteropus giganteus,Gacinia spicata,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Pteropus giganteus,Syzyglum cumini,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Pteropodidae,Ficus amplissima,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Pteropodidae,Ficus benghalensis,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,". Members of the family Pteropotidae are the major consumers of figs in the tropics (Shahnahan et al. 2001), whereas in the neotropics, figs constitute the dominant portion in the diet of Phyllostomid bats (Kalko et al. 1996)",,,,,,,,,,,,,,
Pteropodidae,Ficus microcarpa,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Pteropodidae,Ficus racemosa,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Treron phoenicoptera,Ficus amplissima,frugivory,,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Streptotela chinensis,Securinega leucopyrus,frugivory,,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Orioulus oriolus,Ficus benghalensis,frugivory,Point Calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Orioulus oriolus,Ficus religiosa ,frugivory,Point Calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Orioulus oriolus,Ficus infectoria,frugivory,Point Calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Orioulus oriolus,Ficus amplissima,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Megalalma haemacephala,Ficus amplissima,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Megalalma haemacephala,Ficus microcarpa,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Megalalma haemacephala,Ficus benghalensis,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Megalalma haemacephala,Ficus racemosa,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Megalalma haemacephala,Ficus religiosa ,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Dinoplum bengalense,Lannaea coramandelica,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Diaceum erythrorhynchos,Dendrophthae falcata,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Diaceum erythrorhynchos,Lorathus,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Diaceum erythrorhynchos,Viscum orientale,frugivory,Point calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Diaceum erythrorhynchos,Viscum capitellatum,frugivory,Point calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Nectarinia seylonica,Lepisanthes tetraphylla,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Nectarinia asiatica,Lepisanthes tetraphylla,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Nectarinia lotenia,Lepisanthes tetraphylla,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Acrocephalus dumetorum,Slavadora persica,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Sylvia curruca,Securinega leucopyrus,frugivory,Sriharikota,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Zoothera citrina,Securinega leucopyrus,frugivory,,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Macaca radiata,Ficus,frugivory,,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Bonnect Macaque,Cordia dichotoma,frugivory,,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Bonnect Macaque,Ficus benghalensis,frugivory,,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Bonnect Macaque,Azadiracta indica,frugivory,,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Bonnect Macaque,Scutia myrthina,frugivory,,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Bonnect Macaque,Lannea coromandelica,frugivory,,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Bonnect Macaque,Manilkara henxandra,frugivory,,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Bonnect Macaque,Drypetes seplaria,frugivory,,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Bonnect Macaque,Ficus benghalensis,frugivory,,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Canis aureus,Cassia fistula,frugivory,Point calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Canis aureus,Ziziphus oeneophilia,frugivory,Point calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Canis aureus,Manilkara henxandra,frugivory,Point calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Canis aureus,Syzyglum cumini,frugivory,Point calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Canis aureus,Syzyglum cumini,frugivory,Point calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Canis aureus,Phoenix farinifera,frugivory,Point calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Canis aureus,Cordia dichotoma,frugivory,Point calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Canis aureus,Memecylon umbellatum,frugivory,Point calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Viverricula indica,Ziziphus oeneophilia,frugivory,Point calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Viverricula indica,Manilkara henxandra,frugivory,Point calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Viverricula indica,Cordia dichotoma,frugivory,Point calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Viverricula indica,Drypetes ferrea,frugivory,Point calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Viverricula indica,G. rhaminifolia,frugivory,Point calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Viverricula indica,Memecylon umbellatum,frugivory,Point calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Viverricula indica,Phoenix farinifera,frugivory,Point calimere,"David, Manakan & Ganesh ",,,,,,,,,,,,,,,,,
Aphelocoma californica,Dendroica chrysopari,predation,"Travis, county Texas",10-Apr,,,,,,,,,,,,,,,,,
Aphelocoma californica,Molothrus ater,predation,,10-Apr,,,,,,,,,,,,,,,,,
Ptilocercus lowii,Eugeissona tristis,nectarivory,Malasya,s2.0S...,,,,,,,,,,,,,,,,,
Nycticebus coucang,Eugeissona tristis,nectarivory,Malasya,s2.0S...,,,,,,,,,,,,,,,,,
Callosciurus notatus,Eugeissona tristis,nectarivory,Malasya,s2.0S...,,,,,,,,,,,,,,,,,
Rattus,Eugeissona tristis,nectarivory,Malasya,s2.0S...,,,,,,,,,,,,,,,,,
Cercocebus galeritus,Phoenix reclinata,frugivory,,,,,,,,,,,,,,,,,,,
Gorilla gorilla,Cola lizae,frugivory,"Kibale National Park, Uganda",,,,,,,,,,,,,,,,,,
Elephas ,Balanites wilsoniana,frugivory,,"Chapman, L.J.; Chapman, C.A.; Wrangham, R.W. Balanites wilsoniana: Elephant dependent dispersal. JOURNAL OF TROPICAL ECOLOGY 8:275283, 1992.,",,,,,,,,,,,,,,,,,
Pan troglodytes,Raphia hookeri,Nectarivory,"Bossou, Guinea",Hockings et al. Tools to tiple: ethanol ingestion by wild chimpanzees using leaf-sponges,,,,,,,,,,,,,,,,,
Nycticebus coucang,Eugeissona tristis,Nectarivory,,Hockings et al. Tools to tiple: ethanol ingestion by wild chimpanzees using leaf-sponges,,,,,,,,,,,,,,,,,
Pan troglodytes,Parinari spp,frugivory,,Hockings et al. Tools to tiple: ethanol ingestion by wild chimpanzees using leaf-sponges,,,,,,,,,,,,,,,,,
Pan troglodytes,Treculia africana,frugivory,,Hockings et al. Tools to tiple: ethanol ingestion by wild chimpanzees using leaf-sponges,,,,,,,,,,,,,,,,,
Loxodonta africana,Sclerocarya birrea,frugivory,Western Ghats India,"Mudappa, D. Kumar, A. Chella, R. 2010. Diet and fruit choice of the brown palm civet Paradoxurus jerdoni, a viverrid endemic to the Western Ghats rainforest, India",,,,,,,,,,,,,,,,,
Paradoxorus jerdoni,Elaeocarpus serratus,frugivory,Western Ghats India,"Mudappa, D. Kumar, A. Chella, R. 2010. Diet and fruit choice of the brown palm civet Paradoxurus jerdoni, a viverrid endemic to the Western Ghats rainforest, India",,,,,,,,,,,,,,,,,
Paradoxorus jerdoni,Holigarna nigra,frugivory,Western Ghats India,"Mudappa, D. Kumar, A. Chella, R. 2010. Diet and fruit choice of the brown palm civet Paradoxurus jerdoni, a viverrid endemic to the Western Ghats rainforest, India",,,,,,,,,,,,,,,,,
Paradoxorus jerdoni,Knema attenuata,frugivory,Western Ghats India,"Mudappa, D. Kumar, A. Chella, R. 2010. Diet and fruit choice of the brown palm civet Paradoxurus jerdoni, a viverrid endemic to the Western Ghats rainforest, India",,,,,,,,,,,,,,,,,
Paradoxorus jerdoni,Eleocarpus munronii,frugivory,Western Ghats India,"Mudappa, D. Kumar, A. Chella, R. 2010. Diet and fruit choice of the brown palm civet Paradoxurus jerdoni, a viverrid endemic to the Western Ghats rainforest, India",,,,,,,,,,,,,,,,,
Paradoxorus jerdoni,Holigarna nigra,frugivory,Western Ghats India,"Mudappa, D. Kumar, A. Chella, R. 2010. Diet and fruit choice of the brown palm civet Paradoxurus jerdoni, a viverrid endemic to the Western Ghats rainforest, India",,,,,,,,,,,,,,,,,
Paradoxorus jerdoni,Acroncychia pedunculata,frugivory,Western Ghats India,"Mudappa, D. Kumar, A. Chella, R. 2010. Diet and fruit choice of the brown palm civet Paradoxurus jerdoni, a viverrid endemic to the Western Ghats rainforest, India",,,,,,,,,,,,,,,,,
Paradoxorus jerdoni,Nothopegia beddomei,frugivory,Western Ghats India,"Mudappa, D. Kumar, A. Chella, R. 2010. Diet and fruit choice of the brown palm civet Paradoxurus jerdoni, a viverrid endemic to the Western Ghats rainforest, India",,,,,,,,,,,,,,,,,
Paradoxorus jerdoni,Elaeocarpus serratus,frugivory,Western Ghats India,"Mudappa, D. Kumar, A. Chella, R. 2010. Diet and fruit choice of the brown palm civet Paradoxurus jerdoni, a viverrid endemic to the Western Ghats rainforest, India",,,,,,,,,,,,,,,,,
Paradoxorus jerdoni,Palaquium ellipticum,frugivory,Western Ghats India,"Mudappa, D. Kumar, A. Chella, R. 2010. Diet and fruit choice of the brown palm civet Paradoxurus jerdoni, a viverrid endemic to the Western Ghats rainforest, India",,,,,,,,,,,,,,,,,
Buceros bircornis,Eleaocarpus serratus,frugivory,Western Ghats India,"Mudappa, D. Kumar, A. Chella, R. 2010. Diet and fruit choice of the brown palm civet Paradoxurus jerdoni, a viverrid endemic to the Western Ghats rainforest, India",,,,,,,,,,,,,,,,,
Melursus ursinus,G. ula,frugivory,Western Ghats India,"Mudappa, D. Kumar, A. Chella, R. 2010. Diet and fruit choice of the brown palm civet Paradoxurus jerdoni, a viverrid endemic to the Western Ghats rainforest, India",,,,,,,,,,,,,,,,,
Buceros bircornis,Diospyros spp,frugivory,Western Ghats India,"Mudappa, D. Kumar, A. Chella, R. 2010. Diet and fruit choice of the brown palm civet Paradoxurus jerdoni, a viverrid endemic to the Western Ghats rainforest, India",,,,,,,,,,,,,,,,,
Buceros bircornis,Knema attenuata,frugivory,Western Ghats India,"Mudappa, D. Kumar, A. Chella, R. 2010. Diet and fruit choice of the brown palm civet Paradoxurus jerdoni, a viverrid endemic to the Western Ghats rainforest, India",,,,,,,,,,,,,,,,,
Melursus ursinus,Diospyros spp,frugivory,Western Ghats India,"Mudappa, D. Kumar, A. Chella, R. 2010. Diet and fruit choice of the brown palm civet Paradoxurus jerdoni, a viverrid endemic to the Western Ghats rainforest, India",,,,,,,,,,,,,,,,,
Melursus ursinus,Knema attenuata,frugivory,Western Ghats India,"Mudappa, D. Kumar, A. Chella, R. 2010. Diet and fruit choice of the brown palm civet Paradoxurus jerdoni, a viverrid endemic to the Western Ghats rainforest, India",,,,,,,,,,,,,,,,,
Buceros bircornis,G. ula,frugivory,Western Ghats India,"Mudappa, D. Kumar, A. Chella, R. 2010. Diet and fruit choice of the brown palm civet Paradoxurus jerdoni, a viverrid endemic to the Western Ghats rainforest, India",,,,,,,,,,,,,,,,,
Tapirus bairdii,Geonoma hoffmaniana,frugivory,,,,,,,,,,,,,,,,,,,
Pycnonotus brunneus ,Callicarpa arborea,frugivory,"Khao Pra Bang Wildlife Sanctuary, Thailand","Sritongchuay T, Gale, G. Stewart, A, Kerdkaerw, T & Bumrungsri. 2014. Seed Rain in Abandoned Clearings in a Lowland Evergreen RainForest in Southern Thailand. Tropical Conservation Science. Vol (7).3",,,,,,,,,,,,,,,,,
Pycnonotus goiaver,Callicarpa arborea,frugivory,"Khao Pra Bang Wildlife Sanctuary, Thailand","Sritongchuay T, Gale, G. Stewart, A, Kerdkaerw, T & Bumrungsri. 2014. Seed Rain in Abandoned Clearings in a Lowland Evergreen RainForest in Southern Thailand. Tropical Conservation Science. Vol (7).3",,,,,,,,,,,,,,,,,
Macaca leonina,Mangifera indica,frugivory,,,,,,,,,,,,,,,,,,,
Aglaia spectabilis,Pigeons,frugivory,Thailand,"Kitamura S. Yumoto Takakazu, Pilai Poonswad, Chuailua P. Plongmai K. Maruhashi T. and Noma Naohiko. 2002. Interactions between fleshy fruits and frugivores in a tropical seasonal forest in Thailand",,,,,,,,,,,,,,,,,
Aglaia spectabilis,Hornbills,frugivory,Thailand,"Kitamura S. Yumoto Takakazu, Pilai Poonswad, Chuailua P. Plongmai K. Maruhashi T. and Noma Naohiko. 2002. Interactions between fleshy fruits and frugivores in a tropical seasonal forest in Thailand",,,,,,,,,,,,,,,,,
Eugeissona tristis,Ptilocercus lowii,nectarivory,Malasya,"Stauffer, F. Siegert S. Silberbauer-Gottsberger I. Gottsberger, G. 2016. Floral structure in the Asian palm Eugeissona tristis Griff. (Arecaceae: Calamoidae), and description of a new nectary type in the family. Plant Syst. Evol. 302:629-639",,,,,,,,,,,,,,,,,
Eugeissona tristis,Nycticebus coucang,nectarivory,Malasya,"Stauffer, F. Siegert S. Silberbauer-Gottsberger I. Gottsberger, G. 2016. Floral structure in the Asian palm Eugeissona tristis Griff. (Arecaceae: Calamoidae), and description of a new nectary type in the family. Plant Syst. Evol. 302:629-639",,,,,,,,,,,,,,,,,
Aegle marmelos,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1776",,,,,,,,,,,,,,,,,
Agalia edulis,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1777",,,,,,,,,,,,,,,,,
Amomum dealbatum,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1778",,,,,,,,,,,,,,,,,
Annona squamosa,Homo sapiens,frugivory,"Mizoram, India","Hazarika, T.k. Lalramchuana. Nautiyal. B.P. 2011. Studies on wild edible fruits of Mizoram, India used as ethno-medicine. Genet Resour Crop Evol. 59. 1767-1779",,,,,,,,,,,,,,,,,
