Database,Link,Free / Subscription access,Allows programatic search ?,Allows programatic download?,Geographical coverage,Main Language
Redalyc,www.redalyc.org/,Free,NO,NO,"Latin America, Caribbean, Spain & Portugal","Spanish,  Portuguese"
FreeFullPDF,www.freefullpdf.com/,Free,NO,NO,Worldwide,English
Wiley,www.wiley.com/,Subscription,NO,NO,Worldwide,English
CORE,core.ac.uk/,Free,YES,NO,Worldwide,English
Microsoft Academic,academic.microsoft.com/,Free   (10K queries per month),YES,NO,Worldwide,English
Springer,www.springer.com/,Subscription,YES," only metadata, full text available only for open source documents ",Worldwide,English
Web of Science,webofknowledge.com,Subscription,YES,metadata & abstracts,Worldwide,English
arXiv,arxiv.org/,Free,YES,YES,Worldwide,English
Russian Science Citation index,elibrary.ru/,Free,NO,NO,Russia + other locations around the globe. Worldwide coverage of russian authors or russian citations,Russian
SciELO,www.scielo.org/,Free,NO,NO,"Latin America, Caribbean,Southafrica,  Spain & Portugal","Spanish,   Portuguese"
Directory of Open Access Journals,www.doaj.org/,Free,YES, metadata & article url,Worldwide,"English,  Spanish, Portuguese"
BioOne,www.bioonepublishing.org/,Subscription,NO,NO,Worldwide,English
Google Scholar,scholar.google.com,Free,NO  ( unofficial API ),NO,Worldwide,Various languages
ScienceOpen,scienceopen.com/,Free,NO,NO,Worldwide,English
Scopus,www.scopus.com/,Subscription,YES,metadata & abstracts,Worldwide,English
Socolar,www.socolar.com/?ver=en,Free,NO,NO,Worldwide,"Chinese, English"
Public Library of Science,www.plos.org,Free,YES,YES,Worldwide,English
Europe PMC,europepmc.org,Free,YES,YES,Worldwide,English
Crossref,www.crosref.org,Free,YES,metadata,Worldwide,Various languages
Biblat,biblat.unam.mx,Free,NO   ( In development ),NO ( In development ),Latin America,Spanish
Sci-Hub,sci-hub.cc ;  sci-hub.io,Free,NO,NO,Worldwide,Various languages
